pool	block	ident	line	budget	record	text
0x1c767903	0x31f0	0xab	0	68	0	You've lost them,\\nbut they're still on the hunt.
0x1c767903	0x31f0	0xab	1	30	0	Stay sharp.
0x1c767903	0x32a0	0x6b	0	55	0	You have to shake them. Hide!
0x1c767903	0x3310	0x61	0	55	0	They're still looking for you. Silencio!
0x1c767903	0x3380	0x77	0	14	0	Phew,
0x1c767903	0x3380	0x77	1	36	0	looks like you shook 'em...
0x1c767903	0x3400	0x61	0	55	0	Don't relax just yet, eh?
0x1c767903	0x3470	0x66	0	55	0	Well done. You should be able to get away.
0x1c767903	0x34e0	0x62	0	55	0	Try not to be seen again.
0x1c767903	0x3550	0x5f	0	39	0	You've got it made! Almost there.
0x1c767903	0x35b0	0x66	0	55	0	Do whatever it takes to shake 'em!
0x1c767903	0x3620	0x63	0	55	0	Keep running! You're almost clear!
0x1c767903	0x3690	0x5f	0	39	0	Find somewhere safe, Snake.
0x1c767903	0x36f0	0xc6	0	95	0	They've called off the search, but\\nsecurity has definitely been tightened.
0x1c767903	0x36f0	0xc6	1	34	0	Tread lightly.
0x1c767903	0x37c0	0xc7	0	94	0	The search is off, but you're still\\ndealing with heightened security.
0x1c767903	0x37c0	0xc7	1	35	0	Be careful.
0x1c767903	0x3890	0x97	0	32	0	Better be careful.
0x1c767903	0x3890	0x97	1	50	0	The enemy's still searching for you.
0x1c767903	0x3930	0x66	0	55	0	Try and throw them off your trail!
0x1c767903	0x39a0	0x7f	0	71	0	No use, Boss. Security's too tight.
0x1c767903	0x3a20	0x92	0	103	0	There's no way you can charge\\nin now. Shake those guys first.
0x1c767903	0x3ac0	0xe4	0	78	0	You can't move on if the enemy knows where you are!
0x1c767903	0x3ac0	0xe4	1	83	0	Lie low for a while and wait for them to lift the alert.
0x1c767903	0x3bb0	0xad	0	43	0	To move into Snake Formation,
0x1c767903	0x3bb0	0xad	1	55	0	press <I=ACT> while next to your partner.
0x1c767903	0x3c60	0xab	0	55	0	Press <I=ACT> when next to your partner
0x1c767903	0x3c60	0xab	1	42	0	to assume Snake Formation.
0x1c767903	0x3d10	0x81	0	87	0	Okay, looks like you've got Snake Formation down pat.
0x1c767903	0x3da0	0x73	0	71	0	Why are you firing on friendlies, Snake?!
0x1c767903	0x3e20	0x98	0	28	0	C'mon, Snake!
0x1c767903	0x3e20	0x98	1	53	0	You're shooting your own team members!
0x1c767903	0x3ec0	0x8d	0	37	0	What's your problem, soldier?!
0x1c767903	0x3ec0	0x8d	1	28	0	Those are friendlies!
0x1c767903	0x3f50	0x94	0	28	0	You idiot!
0x1c767903	0x3f50	0x94	1	54	0	Stop shooting your own team members!
0x1c767903	0x3ff0	0x90	0	87	0	Your partner's down! Quick,\\nuse CPR - bring him back!
0x1c767903	0x4080	0x70	0	55	0	You have to go help him!\\nThere's still time!
0x1c767903	0x40f0	0x7a	0	71	0	Tap <I=ACT> repeatedly to recover faster.
0x1c767903	0x4170	0xa9	0	42	0	Your teammate needs help!
0x1c767903	0x4170	0xa9	1	55	0	Quick, tap <I=ACT> as fast as you can!
0x1c767903	0x4220	0x6d	0	55	0	Someone's on their way to help you now! Hold tight!
0x1c767903	0x4290	0x7a	0	71	0	Don't give up on me! Help's on the way. Hang in there!
0x1c767903	0x4310	0x65	0	55	0	Hurry and give them CPR!
0x1c767903	0x4380	0x76	0	71	0	One of your compas is dying! Help 'em!
0x1c767903	0x4400	0x8f	0	87	0	Your teammate needs first aid! It's not too late to save them with CPR!
0x1c767903	0x4490	0x85	0	87	0	Try giving them CPR. You might be able to save their lives.
0x1c767903	0x4520	0x5c	0	39	0	Please, you have to help them!
0x1c767903	0x4580	0xc4	0	59	0	To communicate with your teammates,
0x1c767903	0x4580	0xc4	1	71	0	use the CO-OPS Comms option in the menu window.
0x1c767903	0x4650	0x104	0	64	0	You can also assign this function to whatever
0x1c767903	0x4650	0x104	1	67	0	button you want by going to CONTROLLER SETTINGS.
0x1c767903	0x4650	0x104	2	42	0	and choosing "OPTIONS."
0x1c767903	0x4760	0xc8	0	72	0	CO-OPS Comms lets you communicate with your teammates
0x1c767903	0x4760	0xc8	1	58	0	without alerting the people around you.
0x1c767903	0x4830	0xcb	0	57	0	To communicate with your teammates,
0x1c767903	0x4830	0xcb	1	72	0	push the <I=COOPS_COMMS> to activate CO-OPS Comms.
0x1c767903	0x4900	0xd0	0	83	0	If you're out of rations, try lying down and resting for a while.
0x1c767903	0x4900	0xd0	1	46	0	Find someplace safe, though.
0x1c767903	0x49d0	0x8d	0	87	0	Keep rations equipped to automatically recover LIFE when it reaches zero.
0x1c767903	0x4a60	0xca	0	69	0	Heal often so that your LIFE never gets too low.
0x1c767903	0x4a60	0xca	1	60	0	It's a good idea to keep rations handy.
0x1c767903	0x4b30	0x88	0	87	0	Heal frequently. It's all over if your LIFE runs out.
0x1c767903	0x4bc0	0x83	0	87	0	You must be hungry, I'm sure. Why don't you eat some rations?
0x1c767903	0x4c50	0x6a	0	55	0	You wanna die or what?! Eat some rations!
0x1c767903	0x4cc0	0x6f	0	55	0	Use a ration! You're almost out of LIFE!
0x1c767903	0x4d30	0x70	0	55	0	Look at your LIFE! Use a ration!
0x1c767903	0x4da0	0xae	0	34	0	Look at your LIFE gauge!
0x1c767903	0x4da0	0xae	1	63	0	Is this really the time to be chatting on the radio?!
0x1c767903	0x4e50	0xba	0	49	0	Even if you do not have rations,
0x1c767903	0x4e50	0xba	1	64	0	you can recover LIFE by lying down for a while.
0x1c767903	0x4f10	0xc3	0	68	0	Staying focused is a matter of life and death.
0x1c767903	0x4f10	0xc3	1	61	0	That means taking a break now and then.
0x1c767903	0x4fe0	0xf0	0	83	0	Snake, I don't have to remind you how dangerous combat is.
0x1c767903	0x4fe0	0xf0	1	79	0	You can't stay focused unless you rest once in awhile.
0x1c767903	0x50d0	0x7e	0	71	0	Take a break now and then. That's an order, soldier!
0x1c767903	0x5150	0x68	0	55	0	Is it not about time for a break?
0x1c767903	0x51c0	0xfe	0	81	0	If there's anything you want to know, just give me a call on the radio.
0x1c767903	0x51c0	0xfe	1	30	0	Open the menu window
0x1c767903	0x51c0	0xfe	2	44	0	then choose the Radio CALL option.
0x1c767903	0x52c0	0x6a	0	55	0	This is Miller. Hearing you loud and clear.
0x1c767903	0x5330	0xba	0	72	0	Press <I=ATK> near the enemy \\nto initiate close-quarters combat.
0x1c767903	0x5330	0xba	1	41	0	to initiate close-quarters combat.
0x1c767903	0x53f0	0x80	0	71	0	To reload, aim your weapon and press <I=RELOAD>.
0x1c767903	0x5470	0x7e	0	71	0	Aim your weapon and press <I=RELOAD> to reload it.
0x1c767903	0x54f0	0xab	0	47	0	You can use <I=RELOAD> to reload
0x1c767903	0x54f0	0xab	1	50	0	even when there's no icon onscreen.
0x1c767903	0x55a0	0x84	0	87	0	You can't use weapons while you're on your belly.
0x1c767903	0x5630	0xb3	0	57	0	You won't have to worry about that one anymore.
0x1c767903	0x5630	0xb3	1	57	0	So long as none of his buddies show up, anyway.
0x1c767903	0x56f0	0x8c	0	87	0	Go ahead and use Fulton recovery to bring the target in.
0x1c767903	0x5780	0x5e	0	39	0	Careful, the enemy's nearby.
0x1c767903	0x57e0	0x6f	0	55	0	Looks like they haven't caught on to you yet.
0x1c767903	0x5850	0x63	0	55	0	Now's your chance to put 'em to sleep.
0x1c767903	0x58c0	0x7d	0	71	0	To pick up a Claymore, approach it from behind.
0x1c767903	0x5940	0x72	0	71	0	Push <I=ACT> to pick up a Claymore!
0x1c767903	0x59c0	0x82	0	87	0	Be careful, if you bump into an enemy, the box comes off.
0x1c767903	0x5a50	0x84	0	87	0	You can use your weapons to attack even when you're in the box.
0x1c767903	0x5ae0	0x78	0	71	0	You, uh, really think the enemy's gonna fall for that?
0x1c767903	0x5b60	0x77	0	71	0	I wonder what that box was used for?
0x1c767903	0x5be0	0x6f	0	55	0	A cardboard box, huh? Pretty neat trick.
0x1c767903	0x5c50	0x57	0	39	0	Aha, a clever move...
0x1c767903	0x5cb0	0x60	0	39	0	What on earth are you doing?
0x1c767903	0x5d10	0x60	0	39	0	Uh, you like being in tight spaces?
0x1c767903	0x5d70	0x78	0	71	0	What, may I ask, are you doing in there...?
0x1c767903	0x5df0	0xdc	0	79	0	The guy in back can use <I=AIM> to control the turret.
0x1c767903	0x5df0	0xdc	1	67	0	Aim at a target and press <I=ATK> to fire.
0x1c767903	0x5ed0	0x67	0	55	0	You're... actually going to use that?
0x1c767903	0x5f40	0x88	0	87	0	Ha ha ha... now there is a tank that looks a bit more environmentally-friendly.
0x1c767903	0x5fd0	0x5e	0	39	0	A cardboard tank? Cool!
0x1c767903	0x6030	0x75	0	71	0	Yes, perhaps idiocy is the best deterrent...
0x1c767903	0x60b0	0x62	0	55	0	Is that some sort of game you're playing?
0x1c767903	0x6120	0xa9	0	71	0	A tank that walks on its own legs instead of treads...
0x1c767903	0x6120	0xa9	1	27	0	I like it!
0x1c767903	0x61d0	0x129	0	51	0	Back in the time of the Crusades,
0x1c767903	0x61d0	0x129	1	96	0	members of the order of Assassins used what is called the Assassin's Straw Box
0x1c767903	0x61d0	0x129	2	57	0	to hide and get close to their enemies.
0x1c767903	0x6300	0x9a	0	38	0	There's some straw below you.
0x1c767903	0x6300	0x9a	1	43	0	You can dive into it with <I=ACT>.
0x1c767903	0x63a0	0x88	0	87	0	You can fit up to two people inside an Assassin's Straw Box.
0x1c767903	0x6430	0x56	0	39	0	Drag 'em inside the box!
0x1c767903	0x6490	0x60	0	39	0	Now THAT'S how an assassin operates...!
0x1c767903	0x64f0	0xc7	0	53	0	You're carrying too much stuff.
0x1c767903	0x64f0	0xc7	1	77	0	You gotta drop something before you pick up a new item.
0x1c767903	0x65c0	0xb0	0	70	0	Open the item window, choose the item you want to drop,
0x1c767903	0x65c0	0xb0	1	28	0	then DROP it.
0x1c767903	0x6670	0x62	0	55	0	Please! Try to spare them if you can.
0x1c767903	0x66e0	0x64	0	55	0	You're going to... kill those people?
0x1c767903	0x6750	0x7f	0	71	0	They may be the enemy, but they are still human beings.
0x1c767903	0x67d0	0x53	0	39	0	You've killed them...
0x1c767903	0x6830	0x65	0	55	0	So this is a warrior's fate...
0x1c767903	0x68a0	0x54	0	39	0	You killed them?
0x1c767903	0x6900	0x5a	0	39	0	You do not have to kill them...
0x1c767903	0x6960	0x5a	0	39	0	Did you really have to kill them?
0x1c767903	0x69c0	0x65	0	55	0	Is that your only way to protect yourself?
0x1c767903	0x6a30	0x72	0	71	0	I suppose you'll say it's self-defense, right?
0x1c767903	0x6ab0	0xa2	0	61	0	Just because they are the enemy, does not mean that...
0x1c767903	0x6ab0	0xa2	1	37	0	That is taking things too far!
0x1c767903	0x6b60	0x7b	0	71	0	I'm finding it hard to believe that you were ever her disciple...
0x1c767903	0x6be0	0x70	0	55	0	You barbarian! Do you really enjoy killing that much?
0x1c767903	0x6c50	0x85	0	87	0	They may be the enemy, but... I cannot believe you...
0x1c767903	0x6ce0	0x68	0	55	0	All those people...they had families...
0x1c767903	0x6d50	0x59	0	39	0	Please... No more killing...
0x1c767903	0x6db0	0xcc	0	51	0	When you're up against a wall,
0x1c767903	0x6db0	0xcc	1	79	0	press <I=ATK> to tap on it and get\\nthe enemy's attention.
0x1c767903	0x6e80	0xcc	0	51	0	When you're up against a wall,
0x1c767903	0x6e80	0xcc	1	79	0	press <I=ATK> to tap on it and get\\nthe enemy's attention.
0x1c767903	0x6f50	0xcd	0	51	0	When you're up against a wall,
0x1c767903	0x6f50	0xcd	1	78	0	press <I=ATK> to tap on it and get the enemy's attention.
0x1c767903	0x7020	0xd3	0	55	0	When you're up against a wall,
0x1c767903	0x7020	0xd3	1	90	0	press <I=KNOCK_WALL> to tap on it and get the\\nenemy's attention.
0x1c767903	0x7100	0xdb	0	69	0	To neutralize an enemy, put him to sleep, knock him out,
0x1c767903	0x7100	0xdb	1	76	0	or leave him in a near-death state - whatever floats your boat.
0x1c767903	0x71e0	0x87	0	87	0	Stay out of the water. That's beyond\\nthe scope of this operation.
0x1c767903	0x7270	0x7f	0	71	0	Bad idea, Snake. Your gear's going to get wet.
0x1c767903	0x72f0	0x6b	0	55	0	If you want to go swimming, do it some other time.
0x1c767903	0x7360	0x69	0	55	0	You want to go for a swim? Now? Ugh...
0x1c767903	0x73d0	0x6e	0	55	0	Why don't you save the swimming for another time?
0x1c767903	0x7440	0xcd	0	57	0	Snipers will get a bead on you from a distance.
0x1c767903	0x7440	0xcd	1	73	0	Just because you can't see them doesn't mean they're not there.
0x1c767903	0x7510	0xbc	0	54	0	Keep your eyes peeled for snipers.
0x1c767903	0x7510	0xbc	1	60	0	A good one can hit you from a mile away.
0x1c767903	0x75d0	0xc6	0	71	0	Rockets can travel a long way to their target.
0x1c767903	0x75d0	0xc6	1	58	0	Never assume you're out of range.
0x1c767903	0x76a0	0xcb	0	47	0	Watch out for faraway enemies, too.
0x1c767903	0x76a0	0xcb	1	83	0	If they've got a rocket launcher, they'll start firing from a distance.
0x1c767903	0x7770	0x56	0	39	0	They've got rocket launchers!
0x1c767903	0x77d0	0x58	0	39	0	Watch out for those rockets!
0x1c767903	0x7830	0x7b	0	71	0	Take out the guys with rocket launchers first!
0x1c767903	0x78b0	0xb5	0	80	0	The guys with helmets will not go down with a single headshot.
0x1c767903	0x78b0	0xb5	1	33	0	Watch yourself.
0x1c767903	0x7970	0x6a	0	55	0	Ah! Taking some fashion cues from me, eh?
0x1c767903	0x79e0	0x51	0	39	0	Nice uniform, Snake.
0x1c767903	0x7a40	0xb2	0	43	0	Sorry about the smell.
0x1c767903	0x7a40	0xb2	1	71	0	I lent you a dirty uniform instead of a clean one.
0x1c767903	0x7b00	0x63	0	55	0	It's like looking in a mirror...
0x1c767903	0x7b70	0x7b	0	71	0	Just don't go causing any trouble while you're dressed like me.
0x1c767903	0x7bf0	0x5b	0	39	0	Hey, same as me!
0x1c767903	0x7c50	0xae	0	39	0	If you're going to dress like me,
0x1c767903	0x7c50	0xae	1	59	0	keep in mind you'll have to live up to my reputation.
0x1c767903	0x7d00	0xe7	0	30	0	What do you think?
0x1c767903	0x7d00	0xe7	1	58	0	Easy to move around in that uniform, isn't it?
0x1c767903	0x7d00	0xe7	2	52	0	It's helped keep me alive all this time.
0x1c767903	0x7df0	0x74	0	71	0	Make sure you wash that before you give it back.
0x1c767903	0x7e70	0x5b	0	39	0	Amanda? No, it can't be.
0x1c767903	0x7ed0	0x54	0	39	0	Whoa! Look out, ladies!
0x1c767903	0x7f30	0x9a	0	36	0	A bandanna with a tuxedo?
0x1c767903	0x7f30	0x9a	1	46	0	..OK, if it's that important to ya.
0x1c767903	0x7fd0	0xe5	0	50	0	That's no way for a lady to dress.
0x1c767903	0x7fd0	0xe5	1	50	0	But if you need a date to a party,
0x1c767903	0x7fd0	0xe5	2	39	0	I'd be happy to oblige.
0x1c767903	0x80c0	0x6c	0	55	0	Oh, my... Are you going to invite me out to dinner?
0x1c767903	0x8130	0x5f	0	39	0	Whoa, what are you all dressed up for?
0x1c767903	0x8190	0x7b	0	71	0	Whoa you look like body guard! Who are you working for?
0x1c767903	0x8210	0x68	0	55	0	What are you dressed like that for?
0x1c767903	0x8280	0xa7	0	32	0	Have you lost your mind?
0x1c767903	0x8280	0xa7	1	65	0	What kind of guerilla goes around in something like that?
0x1c767903	0x8330	0x89	0	87	0	What an irrational choice of clothes. If only she could see you now...
0x1c767903	0x83c0	0x60	0	39	0	That's a rather...extravagant look.
0x1c767903	0x8420	0x87	0	87	0	What are you wearing there... is that... wait... is this some kind of joke?
0x1c767903	0x84b0	0xa6	0	46	0	Hey, that looks good on you.
0x1c767903	0x84b0	0xa6	1	51	0	Maybe if I wore one, she would...
0x1c767903	0x8560	0x9a	0	39	0	You know, that's not a bad look.
0x1c767903	0x8560	0x9a	1	43	0	I think it's classy even on a woman.
0x1c767903	0x8600	0x51	0	39	0	Looking good, Snake...
0x1c767903	0x8660	0x87	0	87	0	Very classy. We should throw a party once this is all over.
0x1c767903	0x86f0	0xaf	0	48	0	What the... Snake, you're our commander.
0x1c767903	0x86f0	0xaf	1	49	0	The least you could do is dress like one.
0x1c767903	0x87a0	0xcf	0	33	0	In case you're wondering,
0x1c767903	0x87a0	0xcf	1	37	0	no, you CAN'T take those off.
0x1c767903	0x87a0	0xcf	2	38	0	So don't even think about it!!
0x1c767903	0x8870	0xc2	0	77	0	OK, I'm sorry. I'll quit teasing you about your code name.
0x1c767903	0x8870	0xc2	1	53	0	Just put some clothes on! PLEASE!!
0x1c767903	0x8940	0xba	0	56	0	Fine. You want me to strip down, too?!
0x1c767903	0x8940	0xba	1	57	0	There! How'dya like THAT!! Huh? Happy?!
0x1c767903	0x8a00	0x9f	0	37	0	All right! No more uniforms!
0x1c767903	0x8a00	0x9f	1	44	0	From now on, we're all going NAKED!
0x1c767903	0x8aa0	0x75	0	71	0	Uh, you know, that's...actually kind of a good look for you.
0x1c767903	0x8b20	0xb7	0	52	0	Will you please not dress in a way
0x1c767903	0x8b20	0xb7	1	61	0	that makes MSF look like a bunch of freaks?
0x1c767903	0x8be0	0xd8	0	70	0	You trying to say something, soldier? OK, I get it.
0x1c767903	0x8be0	0xd8	1	75	0	Next time I get drunk, I'll keep my pants on, all right?
0x1c767903	0x8cc0	0x97	0	24	0	You're a woman.
0x1c767903	0x8cc0	0x97	1	58	0	Shouldn't you be taking better care of your skin?
0x1c767903	0x8d60	0x9d	0	46	0	The mosquitoes are going to love you.
0x1c767903	0x8d60	0x9d	1	36	0	Do you WANT to get malaria?
0x1c767903	0x8e00	0x7e	0	10	0	Ooh,
0x1c767903	0x8e00	0x7e	1	39	0	let me wrap my arms around you...
0x1c767903	0x8e80	0x66	0	13	0	Ooh,
0x1c767903	0x8e80	0x66	1	21	0	sooo sexy...
0x1c767903	0x8ef0	0x4c	0	23	0	Such big muscles...
0x1c767903	0x8f40	0x7f	0	71	0	If I keep training, one day I'll look like that too.
0x1c767903	0x8fc0	0x78	0	71	0	Hey, hey, hey! What are you doing? Are you teasing me?
0x1c767903	0x9040	0xa2	0	119	0	Not to be rude, but naked men are not my cup of tea. Would you mind...?
0x1c767903	0x90f0	0x6c	0	55	0	You know, you don't have to stop there...
0x1c767903	0x9160	0xa4	0	40	0	Mmm, I like the way you think.
0x1c767903	0x9160	0xa4	1	57	0	Perhaps you'd care to join me in my room later?
0x1c767903	0x9210	0x8e	0	87	0	Such a beautiful body...be sure to bring it back in one piece.
0x1c767903	0x92a0	0xc9	0	77	0	Let me guess. You're wearing our prototype stealth camo, right?
0x1c767903	0x92a0	0xc9	1	52	0	...Wait, you're not wearing ANYTHING?!
